,date,trends_index,keyword,region
0,2004-01-01,0,Moroccan Dirham,DZ
1,2004-02-01,0,Moroccan Dirham,DZ
2,2004-03-01,100,Moroccan Dirham,DZ
3,2004-04-01,0,Moroccan Dirham,DZ
4,2004-05-01,71,Moroccan Dirham,DZ
5,2004-06-01,56,Moroccan Dirham,DZ
6,2004-07-01,0,Moroccan Dirham,DZ
7,2004-08-01,60,Moroccan Dirham,DZ
8,2004-09-01,0,Moroccan Dirham,DZ
9,2004-10-01,0,Moroccan Dirham,DZ
10,2004-11-01,0,Moroccan Dirham,DZ
11,2004-12-01,0,Moroccan Dirham,DZ
12,2005-01-01,0,Moroccan Dirham,DZ
13,2005-02-01,0,Moroccan Dirham,DZ
14,2005-03-01,0,Moroccan Dirham,DZ
15,2005-04-01,0,Moroccan Dirham,DZ
16,2005-05-01,0,Moroccan Dirham,DZ
17,2005-06-01,63,Moroccan Dirham,DZ
18,2005-07-01,0,Moroccan Dirham,DZ
19,2005-08-01,0,Moroccan Dirham,DZ
20,2005-09-01,0,Moroccan Dirham,DZ
21,2005-10-01,0,Moroccan Dirham,DZ
22,2005-11-01,0,Moroccan Dirham,DZ
23,2005-12-01,73,Moroccan Dirham,DZ
24,2006-01-01,23,Moroccan Dirham,DZ
25,2006-02-01,0,Moroccan Dirham,DZ
26,2006-03-01,0,Moroccan Dirham,DZ
27,2006-04-01,30,Moroccan Dirham,DZ
28,2006-05-01,0,Moroccan Dirham,DZ
29,2006-06-01,0,Moroccan Dirham,DZ
30,2006-07-01,0,Moroccan Dirham,DZ
31,2006-08-01,0,Moroccan Dirham,DZ
32,2006-09-01,0,Moroccan Dirham,DZ
33,2006-10-01,0,Moroccan Dirham,DZ
34,2006-11-01,0,Moroccan Dirham,DZ
35,2006-12-01,15,Moroccan Dirham,DZ
36,2007-01-01,0,Moroccan Dirham,DZ
37,2007-02-01,0,Moroccan Dirham,DZ
38,2007-03-01,0,Moroccan Dirham,DZ
39,2007-04-01,0,Moroccan Dirham,DZ
40,2007-05-01,0,Moroccan Dirham,DZ
41,2007-06-01,0,Moroccan Dirham,DZ
42,2007-07-01,18,Moroccan Dirham,DZ
43,2007-08-01,0,Moroccan Dirham,DZ
44,2007-09-01,14,Moroccan Dirham,DZ
45,2007-10-01,32,Moroccan Dirham,DZ
46,2007-11-01,0,Moroccan Dirham,DZ
47,2007-12-01,0,Moroccan Dirham,DZ
48,2008-01-01,0,Moroccan Dirham,DZ
49,2008-02-01,0,Moroccan Dirham,DZ
50,2008-03-01,0,Moroccan Dirham,DZ
51,2008-04-01,0,Moroccan Dirham,DZ
52,2008-05-01,0,Moroccan Dirham,DZ
53,2008-06-01,0,Moroccan Dirham,DZ
54,2008-07-01,0,Moroccan Dirham,DZ
55,2008-08-01,12,Moroccan Dirham,DZ
56,2008-09-01,0,Moroccan Dirham,DZ
57,2008-10-01,9,Moroccan Dirham,DZ
58,2008-11-01,0,Moroccan Dirham,DZ
59,2008-12-01,0,Moroccan Dirham,DZ
60,2009-01-01,0,Moroccan Dirham,DZ
61,2009-02-01,0,Moroccan Dirham,DZ
62,2009-03-01,0,Moroccan Dirham,DZ
63,2009-04-01,0,Moroccan Dirham,DZ
64,2009-05-01,0,Moroccan Dirham,DZ
65,2009-06-01,0,Moroccan Dirham,DZ
66,2009-07-01,0,Moroccan Dirham,DZ
67,2009-08-01,0,Moroccan Dirham,DZ
68,2009-09-01,0,Moroccan Dirham,DZ
69,2009-10-01,0,Moroccan Dirham,DZ
70,2009-11-01,0,Moroccan Dirham,DZ
71,2009-12-01,0,Moroccan Dirham,DZ
72,2010-01-01,7,Moroccan Dirham,DZ
73,2010-02-01,0,Moroccan Dirham,DZ
74,2010-03-01,0,Moroccan Dirham,DZ
75,2010-04-01,0,Moroccan Dirham,DZ
76,2010-05-01,0,Moroccan Dirham,DZ
77,2010-06-01,0,Moroccan Dirham,DZ
78,2010-07-01,6,Moroccan Dirham,DZ
79,2010-08-01,0,Moroccan Dirham,DZ
80,2010-09-01,0,Moroccan Dirham,DZ
81,2010-10-01,5,Moroccan Dirham,DZ
82,2010-11-01,0,Moroccan Dirham,DZ
83,2010-12-01,0,Moroccan Dirham,DZ
84,2011-01-01,0,Moroccan Dirham,DZ
85,2011-02-01,0,Moroccan Dirham,DZ
86,2011-03-01,0,Moroccan Dirham,DZ
87,2011-04-01,1,Moroccan Dirham,DZ
88,2011-05-01,0,Moroccan Dirham,DZ
89,2011-06-01,0,Moroccan Dirham,DZ
90,2011-07-01,0,Moroccan Dirham,DZ
91,2011-08-01,0,Moroccan Dirham,DZ
92,2011-09-01,0,Moroccan Dirham,DZ
93,2011-10-01,0,Moroccan Dirham,DZ
94,2011-11-01,0,Moroccan Dirham,DZ
95,2011-12-01,0,Moroccan Dirham,DZ
96,2012-01-01,0,Moroccan Dirham,DZ
97,2012-02-01,1,Moroccan Dirham,DZ
98,2012-03-01,0,Moroccan Dirham,DZ
99,2012-04-01,0,Moroccan Dirham,DZ
100,2012-05-01,0,Moroccan Dirham,DZ
101,2012-06-01,0,Moroccan Dirham,DZ
102,2012-07-01,0,Moroccan Dirham,DZ
103,2012-08-01,0,Moroccan Dirham,DZ
104,2012-09-01,0,Moroccan Dirham,DZ
105,2012-10-01,0,Moroccan Dirham,DZ
106,2012-11-01,0,Moroccan Dirham,DZ
107,2012-12-01,0,Moroccan Dirham,DZ
108,2013-01-01,0,Moroccan Dirham,DZ
109,2013-02-01,0,Moroccan Dirham,DZ
110,2013-03-01,0,Moroccan Dirham,DZ
111,2013-04-01,0,Moroccan Dirham,DZ
112,2013-05-01,0,Moroccan Dirham,DZ
113,2013-06-01,0,Moroccan Dirham,DZ
114,2013-07-01,0,Moroccan Dirham,DZ
115,2013-08-01,0,Moroccan Dirham,DZ
116,2013-09-01,0,Moroccan Dirham,DZ
117,2013-10-01,0,Moroccan Dirham,DZ
118,2013-11-01,0,Moroccan Dirham,DZ
119,2013-12-01,0,Moroccan Dirham,DZ
120,2014-01-01,0,Moroccan Dirham,DZ
121,2014-02-01,1,Moroccan Dirham,DZ
122,2014-03-01,0,Moroccan Dirham,DZ
123,2014-04-01,0,Moroccan Dirham,DZ
124,2014-05-01,0,Moroccan Dirham,DZ
125,2014-06-01,0,Moroccan Dirham,DZ
126,2014-07-01,0,Moroccan Dirham,DZ
127,2014-08-01,0,Moroccan Dirham,DZ
128,2014-09-01,1,Moroccan Dirham,DZ
129,2014-10-01,0,Moroccan Dirham,DZ
130,2014-11-01,0,Moroccan Dirham,DZ
131,2014-12-01,0,Moroccan Dirham,DZ
132,2015-01-01,0,Moroccan Dirham,DZ
133,2015-02-01,0,Moroccan Dirham,DZ
134,2015-03-01,0,Moroccan Dirham,DZ
135,2015-04-01,0,Moroccan Dirham,DZ
136,2015-05-01,0,Moroccan Dirham,DZ
137,2015-06-01,0,Moroccan Dirham,DZ
138,2015-07-01,0,Moroccan Dirham,DZ
139,2015-08-01,0,Moroccan Dirham,DZ
140,2015-09-01,0,Moroccan Dirham,DZ
141,2015-10-01,0,Moroccan Dirham,DZ
142,2015-11-01,0,Moroccan Dirham,DZ
143,2015-12-01,0,Moroccan Dirham,DZ
144,2016-01-01,1,Moroccan Dirham,DZ
145,2016-02-01,0,Moroccan Dirham,DZ
146,2016-03-01,0,Moroccan Dirham,DZ
147,2016-04-01,1,Moroccan Dirham,DZ
148,2016-05-01,0,Moroccan Dirham,DZ
149,2016-06-01,0,Moroccan Dirham,DZ
150,2016-07-01,0,Moroccan Dirham,DZ
151,2016-08-01,0,Moroccan Dirham,DZ
152,2016-09-01,0,Moroccan Dirham,DZ
153,2016-10-01,0,Moroccan Dirham,DZ
154,2016-11-01,1,Moroccan Dirham,DZ
155,2016-12-01,0,Moroccan Dirham,DZ
156,2017-01-01,0,Moroccan Dirham,DZ
157,2017-02-01,0,Moroccan Dirham,DZ
158,2017-03-01,0,Moroccan Dirham,DZ
159,2017-04-01,0,Moroccan Dirham,DZ
160,2017-05-01,1,Moroccan Dirham,DZ
161,2017-06-01,1,Moroccan Dirham,DZ
162,2017-07-01,0,Moroccan Dirham,DZ
163,2017-08-01,0,Moroccan Dirham,DZ
164,2017-09-01,0,Moroccan Dirham,DZ
165,2017-10-01,0,Moroccan Dirham,DZ
166,2017-11-01,0,Moroccan Dirham,DZ
167,2017-12-01,0,Moroccan Dirham,DZ
168,2018-01-01,0,Moroccan Dirham,DZ
169,2018-02-01,0,Moroccan Dirham,DZ
170,2018-03-01,0,Moroccan Dirham,DZ
171,2018-04-01,0,Moroccan Dirham,DZ
172,2018-05-01,0,Moroccan Dirham,DZ
173,2018-06-01,0,Moroccan Dirham,DZ
174,2018-07-01,0,Moroccan Dirham,DZ
175,2018-08-01,0,Moroccan Dirham,DZ
176,2018-09-01,0,Moroccan Dirham,DZ
177,2018-10-01,0,Moroccan Dirham,DZ
178,2018-11-01,0,Moroccan Dirham,DZ
179,2018-12-01,0,Moroccan Dirham,DZ
180,2019-01-01,0,Moroccan Dirham,DZ
181,2019-02-01,1,Moroccan Dirham,DZ
182,2019-03-01,0,Moroccan Dirham,DZ
183,2019-04-01,0,Moroccan Dirham,DZ
184,2019-05-01,0,Moroccan Dirham,DZ
185,2019-06-01,0,Moroccan Dirham,DZ
186,2019-07-01,1,Moroccan Dirham,DZ
187,2019-08-01,0,Moroccan Dirham,DZ
188,2019-09-01,0,Moroccan Dirham,DZ
189,2019-10-01,0,Moroccan Dirham,DZ
190,2019-11-01,0,Moroccan Dirham,DZ
191,2019-12-01,0,Moroccan Dirham,DZ
192,2020-01-01,0,Moroccan Dirham,DZ
193,2020-02-01,0,Moroccan Dirham,DZ
194,2020-03-01,0,Moroccan Dirham,DZ
195,2020-04-01,0,Moroccan Dirham,DZ
196,2020-05-01,0,Moroccan Dirham,DZ
197,2020-06-01,0,Moroccan Dirham,DZ
198,2020-07-01,0,Moroccan Dirham,DZ
199,2020-08-01,0,Moroccan Dirham,DZ
200,2020-09-01,0,Moroccan Dirham,DZ
201,2020-10-01,0,Moroccan Dirham,DZ
202,2020-11-01,1,Moroccan Dirham,DZ
203,2020-12-01,0,Moroccan Dirham,DZ
204,2021-01-01,1,Moroccan Dirham,DZ
205,2021-02-01,0,Moroccan Dirham,DZ
206,2021-03-01,1,Moroccan Dirham,DZ
207,2021-04-01,1,Moroccan Dirham,DZ
208,2021-05-01,0,Moroccan Dirham,DZ
209,2021-06-01,0,Moroccan Dirham,DZ
210,2021-07-01,0,Moroccan Dirham,DZ
211,2021-08-01,0,Moroccan Dirham,DZ
212,2021-09-01,0,Moroccan Dirham,DZ
213,2021-10-01,0,Moroccan Dirham,DZ
214,2021-11-01,0,Moroccan Dirham,DZ
215,2021-12-01,0,Moroccan Dirham,DZ
216,2022-01-01,0,Moroccan Dirham,DZ
217,2022-02-01,0,Moroccan Dirham,DZ
218,2022-03-01,0,Moroccan Dirham,DZ
219,2022-04-01,1,Moroccan Dirham,DZ
220,2022-05-01,0,Moroccan Dirham,DZ
221,2022-06-01,1,Moroccan Dirham,DZ
222,2022-07-01,0,Moroccan Dirham,DZ
223,2022-08-01,0,Moroccan Dirham,DZ
224,2022-09-01,0,Moroccan Dirham,DZ
225,2022-10-01,0,Moroccan Dirham,DZ
226,2022-11-01,0,Moroccan Dirham,DZ
227,2022-12-01,0,Moroccan Dirham,DZ
228,2023-01-01,1,Moroccan Dirham,DZ
229,2023-02-01,1,Moroccan Dirham,DZ
230,2023-03-01,1,Moroccan Dirham,DZ
231,2023-04-01,1,Moroccan Dirham,DZ
232,2023-05-01,0,Moroccan Dirham,DZ
0,2004-01-01,0,Moroccan Dirham,AU
1,2004-02-01,0,Moroccan Dirham,AU
2,2004-03-01,0,Moroccan Dirham,AU
3,2004-04-01,0,Moroccan Dirham,AU
4,2004-05-01,0,Moroccan Dirham,AU
5,2004-06-01,0,Moroccan Dirham,AU
6,2004-07-01,0,Moroccan Dirham,AU
7,2004-08-01,0,Moroccan Dirham,AU
8,2004-09-01,0,Moroccan Dirham,AU
9,2004-10-01,0,Moroccan Dirham,AU
10,2004-11-01,0,Moroccan Dirham,AU
11,2004-12-01,0,Moroccan Dirham,AU
12,2005-01-01,85,Moroccan Dirham,AU
13,2005-02-01,0,Moroccan Dirham,AU
14,2005-03-01,0,Moroccan Dirham,AU
15,2005-04-01,0,Moroccan Dirham,AU
16,2005-05-01,0,Moroccan Dirham,AU
17,2005-06-01,100,Moroccan Dirham,AU
18,2005-07-01,0,Moroccan Dirham,AU
19,2005-08-01,0,Moroccan Dirham,AU
20,2005-09-01,0,Moroccan Dirham,AU
21,2005-10-01,0,Moroccan Dirham,AU
22,2005-11-01,0,Moroccan Dirham,AU
23,2005-12-01,47,Moroccan Dirham,AU
24,2006-01-01,0,Moroccan Dirham,AU
25,2006-02-01,40,Moroccan Dirham,AU
26,2006-03-01,0,Moroccan Dirham,AU
27,2006-04-01,37,Moroccan Dirham,AU
28,2006-05-01,80,Moroccan Dirham,AU
29,2006-06-01,0,Moroccan Dirham,AU
30,2006-07-01,0,Moroccan Dirham,AU
31,2006-08-01,74,Moroccan Dirham,AU
32,2006-09-01,47,Moroccan Dirham,AU
