,date,passport,Immigration,Travel Visa,Refugee,Conflict,War,Violence,Crisis,Militia,Genocide,Armed Forces,Civilian,Currency,Lottery,Economy,Wage,Protest,Government,country,Bureau de change,Coup dՎtat
0,2005-01-01,0.0,0.0,0.0,77.0,100.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,100.0,AF,,
1,2005-02-01,0.0,0.0,0.0,47.0,0.0,0.0,0.0,100.0,0.0,0.0,49.0,0.0,0.0,80.0,0.0,83.0,100.0,79.0,AF,,
2,2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,AF,,
3,2005-04-01,47.0,0.0,100.0,100.0,0.0,0.0,0.0,94.0,0.0,0.0,35.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,AF,,
4,2005-05-01,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,41.0,AF,,
5,2005-06-01,0.0,0.0,0.0,0.0,0.0,70.0,48.0,58.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,87.0,0.0,81.0,AF,,
6,2005-07-01,0.0,0.0,65.0,0.0,0.0,38.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AF,,
7,2005-08-01,69.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,AF,,
8,2005-09-01,0.0,0.0,0.0,0.0,0.0,35.0,100.0,0.0,0.0,0.0,100.0,0.0,44.0,50.0,58.0,0.0,0.0,0.0,AF,,
9,2005-10-01,0.0,0.0,0.0,0.0,0.0,55.0,56.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,55.0,100.0,0.0,0.0,AF,,
10,2005-11-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AF,,
11,2005-12-01,100.0,0.0,0.0,0.0,25.0,77.0,0.0,0.0,0.0,0.0,0.0,100.0,69.0,0.0,0.0,0.0,0.0,0.0,AF,,
12,2006-01-01,0.0,0.0,29.0,0.0,0.0,30.0,22.0,0.0,0.0,75.0,0.0,77.0,0.0,88.0,55.0,0.0,48.0,16.0,AF,,
13,2006-02-01,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,AF,,
14,2006-03-01,52.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,100.0,0.0,13.0,0.0,69.0,0.0,49.0,0.0,34.0,0.0,AF,,
15,2006-04-01,0.0,0.0,31.0,0.0,0.0,35.0,0.0,27.0,0.0,0.0,0.0,41.0,85.0,39.0,0.0,58.0,0.0,0.0,AF,,
16,2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,AF,,
17,2006-06-01,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,42.0,19.0,0.0,17.0,AF,,
18,2006-07-01,0.0,60.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,24.0,AF,,
19,2006-08-01,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,AF,,
20,2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,63.0,0.0,0.0,0.0,14.0,AF,,
21,2006-10-01,32.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,34.0,0.0,0.0,0.0,25.0,AF,,
22,2006-11-01,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,AF,,
23,2006-12-01,32.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,39.0,0.0,0.0,32.0,0.0,0.0,0.0,30.0,0.0,AF,,
24,2007-01-01,18.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,12.0,AF,,
25,2007-02-01,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,35.0,29.0,0.0,0.0,25.0,AF,,
26,2007-03-01,0.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,AF,,
27,2007-04-01,32.0,50.0,0.0,22.0,0.0,40.0,24.0,0.0,0.0,0.0,18.0,44.0,0.0,21.0,0.0,0.0,0.0,0.0,AF,,
28,2007-05-01,0.0,33.0,0.0,0.0,12.0,22.0,0.0,0.0,0.0,0.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,11.0,AF,,
29,2007-06-01,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,29.0,AF,,
30,2007-07-01,0.0,51.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,16.0,22.0,0.0,26.0,24.0,AF,,
31,2007-08-01,0.0,0.0,45.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,41.0,0.0,0.0,0.0,9.0,AF,,
32,2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,AF,,
33,2007-10-01,0.0,0.0,9.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,AF,,
34,2007-11-01,31.0,0.0,0.0,0.0,0.0,9.0,15.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AF,,
35,2007-12-01,0.0,0.0,10.0,10.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,21.0,16.0,0.0,0.0,0.0,15.0,0.0,AF,,
36,2008-01-01,0.0,21.0,12.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,15.0,0.0,AF,,
37,2008-02-01,0.0,0.0,0.0,15.0,0.0,17.0,0.0,13.0,19.0,0.0,5.0,0.0,15.0,0.0,35.0,9.0,0.0,8.0,AF,,
38,2008-03-01,0.0,0.0,26.0,0.0,16.0,12.0,0.0,0.0,15.0,37.0,0.0,0.0,0.0,19.0,0.0,24.0,0.0,0.0,AF,,
39,2008-04-01,13.0,23.0,0.0,0.0,37.0,19.0,0.0,0.0,26.0,23.0,14.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,AF,,
40,2008-05-01,0.0,17.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,30.0,0.0,0.0,21.0,14.0,0.0,0.0,13.0,0.0,AF,,
41,2008-06-01,0.0,0.0,0.0,0.0,0.0,38.0,9.0,0.0,0.0,17.0,18.0,0.0,17.0,49.0,0.0,0.0,0.0,0.0,AF,,
42,2008-07-01,0.0,0.0,12.0,13.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,23.0,0.0,0.0,0.0,AF,,
43,2008-08-01,0.0,0.0,0.0,7.0,27.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,35.0,0.0,0.0,0.0,0.0,12.0,AF,,
44,2008-09-01,0.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,12.0,AF,,
45,2008-10-01,0.0,25.0,0.0,7.0,0.0,31.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,0.0,0.0,17.0,AF,,
46,2008-11-01,0.0,16.0,0.0,8.0,0.0,13.0,18.0,0.0,0.0,30.0,0.0,0.0,27.0,0.0,0.0,0.0,42.0,0.0,AF,,
47,2008-12-01,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,24.0,21.0,0.0,0.0,17.0,0.0,AF,,
