,date,passport,Immigration,Travel Visa,Refugee,Conflict,War,Violence,Crisis,Militia,Genocide,Civilian,Currency,Lottery,Economy,Wage,Protest,Government,country,Armed Forces,Bureau de change,Coup dՎtat
0,2005-01-01,0.0,17.0,0.0,0.0,53.0,40.0,0.0,32.0,0.0,0.0,67.0,40.0,0.0,0.0,0.0,0.0,0.0,LU,,,
1,2005-02-01,60.0,47.0,49.0,0.0,79.0,28.0,0.0,0.0,85.0,0.0,0.0,52.0,0.0,68.0,0.0,67.0,78.0,LU,,,
2,2005-03-01,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.0,LU,,,
3,2005-04-01,75.0,42.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,37.0,LU,,,
4,2005-05-01,0.0,80.0,68.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,48.0,0.0,0.0,0.0,LU,,,
5,2005-06-01,0.0,25.0,27.0,0.0,0.0,48.0,89.0,28.0,0.0,0.0,0.0,35.0,55.0,0.0,0.0,56.0,0.0,LU,,,
6,2005-07-01,0.0,69.0,0.0,0.0,0.0,10.0,86.0,0.0,0.0,0.0,0.0,28.0,61.0,0.0,0.0,0.0,32.0,LU,,,
7,2005-08-01,0.0,21.0,0.0,100.0,54.0,43.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,49.0,LU,,,
8,2005-09-01,90.0,78.0,0.0,0.0,0.0,32.0,60.0,0.0,0.0,0.0,69.0,52.0,0.0,0.0,0.0,0.0,50.0,LU,,,
9,2005-10-01,0.0,100.0,44.0,0.0,67.0,52.0,0.0,0.0,0.0,62.0,0.0,44.0,28.0,37.0,0.0,0.0,26.0,LU,,,
10,2005-11-01,49.0,34.0,0.0,0.0,55.0,25.0,0.0,45.0,0.0,0.0,0.0,41.0,0.0,39.0,0.0,0.0,38.0,LU,,,
11,2005-12-01,0.0,51.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,31.0,100.0,77.0,36.0,42.0,0.0,0.0,25.0,LU,,,
12,2006-01-01,0.0,0.0,0.0,36.0,0.0,52.0,0.0,33.0,0.0,0.0,0.0,26.0,54.0,32.0,48.0,0.0,74.0,LU,,,
13,2006-02-01,46.0,25.0,0.0,0.0,78.0,41.0,0.0,0.0,0.0,77.0,0.0,35.0,0.0,27.0,0.0,38.0,27.0,LU,,,
14,2006-03-01,100.0,16.0,0.0,0.0,0.0,30.0,62.0,0.0,47.0,0.0,0.0,39.0,0.0,64.0,0.0,0.0,49.0,LU,,,
15,2006-04-01,0.0,0.0,0.0,0.0,46.0,20.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,31.0,0.0,0.0,20.0,LU,,,
16,2006-05-01,41.0,45.0,0.0,0.0,0.0,40.0,86.0,35.0,0.0,0.0,0.0,42.0,45.0,20.0,0.0,0.0,0.0,LU,,,
17,2006-06-01,87.0,0.0,28.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,31.0,30.0,72.0,0.0,22.0,LU,,,
18,2006-07-01,60.0,14.0,100.0,55.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,0.0,0.0,0.0,0.0,LU,,,
19,2006-08-01,0.0,29.0,0.0,0.0,100.0,46.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,85.0,0.0,0.0,38.0,LU,,,
20,2006-09-01,0.0,0.0,0.0,0.0,0.0,38.0,56.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,49.0,LU,,,
21,2006-10-01,0.0,26.0,0.0,0.0,0.0,22.0,0.0,0.0,65.0,100.0,0.0,55.0,0.0,23.0,100.0,0.0,11.0,LU,,,
22,2006-11-01,0.0,0.0,0.0,0.0,48.0,35.0,0.0,0.0,33.0,50.0,0.0,39.0,0.0,100.0,41.0,0.0,41.0,LU,,,
23,2006-12-01,0.0,52.0,26.0,33.0,32.0,66.0,0.0,21.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,100.0,LU,,,
24,2007-01-01,0.0,12.0,0.0,0.0,45.0,42.0,76.0,17.0,0.0,0.0,0.0,76.0,100.0,25.0,0.0,0.0,33.0,LU,,,
25,2007-02-01,90.0,17.0,0.0,0.0,0.0,41.0,0.0,16.0,0.0,26.0,0.0,32.0,0.0,0.0,36.0,0.0,38.0,LU,,,
26,2007-03-01,41.0,0.0,0.0,0.0,31.0,36.0,72.0,22.0,0.0,0.0,0.0,25.0,0.0,15.0,0.0,0.0,39.0,LU,,,
27,2007-04-01,53.0,0.0,0.0,0.0,0.0,49.0,72.0,0.0,0.0,0.0,0.0,61.0,29.0,0.0,0.0,0.0,0.0,LU,,,
28,2007-05-01,27.0,16.0,0.0,41.0,45.0,41.0,76.0,27.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,66.0,LU,,,
29,2007-06-01,92.0,0.0,0.0,0.0,33.0,40.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,62.0,80.0,0.0,17.0,LU,,,
30,2007-07-01,21.0,0.0,21.0,24.0,47.0,34.0,0.0,31.0,0.0,19.0,0.0,57.0,24.0,0.0,0.0,19.0,33.0,LU,,,
31,2007-08-01,0.0,10.0,0.0,0.0,28.0,34.0,0.0,23.0,0.0,0.0,23.0,52.0,32.0,18.0,0.0,0.0,19.0,LU,,,
32,2007-09-01,0.0,25.0,19.0,29.0,22.0,30.0,33.0,14.0,0.0,0.0,46.0,52.0,27.0,0.0,0.0,0.0,14.0,LU,,,
