,date,passport,Immigration,Travel Visa,Refugee,Conflict,War,Violence,Crisis,Militia,Genocide,Armed Forces,Civilian,Currency,Lottery,Economy,Bureau de change,Wage,Protest,Government,country,Coup dՎtat
0,2005-01-01,0,46,43.0,0.0,0,32,58,0,94.0,0.0,0.0,0.0,0,0.0,87,68.0,0,0,100,UA,
1,2005-02-01,0,0,0.0,0.0,100,41,24,70,0.0,0.0,100.0,0.0,0,47.0,80,0.0,0,100,0,UA,
2,2005-03-01,85,0,0.0,0.0,67,67,0,0,0.0,0.0,0.0,30.0,68,0.0,0,0.0,0,0,90,UA,
3,2005-04-01,0,0,0.0,0.0,63,15,45,0,0.0,0.0,0.0,22.0,66,64.0,99,0.0,0,0,0,UA,
4,2005-05-01,0,0,0.0,0.0,0,81,27,0,0.0,100.0,0.0,0.0,37,0.0,65,0.0,0,0,0,UA,
5,2005-06-01,0,24,100.0,0.0,0,71,0,0,100.0,0.0,0.0,0.0,69,0.0,0,65.0,100,0,0,UA,
6,2005-07-01,0,100,0.0,0.0,0,23,100,48,0.0,0.0,76.0,77.0,81,52.0,66,0.0,0,0,0,UA,
7,2005-08-01,0,0,0.0,0.0,0,40,0,0,89.0,0.0,0.0,100.0,0,100.0,45,0.0,0,0,0,UA,
8,2005-09-01,100,0,0.0,0.0,0,51,20,0,0.0,0.0,0.0,0.0,100,43.0,0,0.0,0,0,0,UA,
9,2005-10-01,61,0,0.0,0.0,0,39,39,0,0.0,32.0,52.0,0.0,75,48.0,58,0.0,0,0,30,UA,
10,2005-11-01,70,49,0.0,0.0,0,47,0,0,29.0,0.0,37.0,0.0,22,21.0,100,0.0,0,0,56,UA,
11,2005-12-01,0,0,0.0,0.0,0,36,0,0,0.0,0.0,0.0,0.0,35,33.0,0,0.0,0,66,0,UA,
12,2006-01-01,57,0,0.0,48.0,0,20,0,100,0.0,0.0,0.0,0.0,35,0.0,67,0.0,0,0,24,UA,
13,2006-02-01,0,0,0.0,0.0,0,51,0,76,25.0,0.0,0.0,0.0,62,0.0,45,0.0,0,45,0,UA,
14,2006-03-01,31,13,0.0,52.0,16,34,0,41,0.0,0.0,28.0,0.0,12,0.0,34,0.0,0,0,0,UA,
15,2006-04-01,0,40,0.0,0.0,15,33,0,73,0.0,0.0,0.0,0.0,24,72.0,32,100.0,25,0,59,UA,
16,2006-05-01,51,37,0.0,0.0,16,58,0,30,0.0,0.0,0.0,0.0,40,17.0,65,0.0,0,0,24,UA,
17,2006-06-01,75,47,0.0,79.0,0,37,0,42,27.0,0.0,0.0,14.0,36,23.0,47,0.0,74,0,28,UA,
18,2006-07-01,39,0,0.0,54.0,29,61,0,0,0.0,0.0,32.0,0.0,51,25.0,0,0.0,0,0,0,UA,
19,2006-08-01,31,14,0.0,0.0,0,53,0,0,0.0,0.0,0.0,0.0,26,46.0,0,45.0,0,0,15,UA,
20,2006-09-01,62,0,0.0,60.0,0,39,0,0,31.0,0.0,0.0,0.0,45,48.0,44,0.0,0,0,29,UA,
21,2006-10-01,39,16,0.0,0.0,18,36,21,18,0.0,0.0,0.0,0.0,18,17.0,41,0.0,0,0,22,UA,
22,2006-11-01,13,14,0.0,100.0,17,47,0,0,0.0,0.0,16.0,0.0,23,37.0,31,0.0,0,27,50,UA,
23,2006-12-01,0,43,0.0,26.0,28,32,0,0,16.0,0.0,0.0,0.0,16,19.0,34,0.0,0,0,36,UA,
24,2007-01-01,50,24,5.0,0.0,8,53,24,33,0.0,0.0,32.0,7.0,35,23.0,15,0.0,0,0,0,UA,
25,2007-02-01,0,17,0.0,0.0,38,53,0,14,15.0,37.0,0.0,7.0,19,21.0,9,0.0,14,68,0,UA,
26,2007-03-01,11,16,7.0,0.0,24,57,0,0,0.0,15.0,0.0,0.0,52,16.0,30,0.0,0,0,18,UA,
27,2007-04-01,33,0,8.0,0.0,15,53,0,19,0.0,0.0,0.0,7.0,45,16.0,22,45.0,27,0,29,UA,
28,2007-05-01,0,14,0.0,0.0,6,43,0,13,30.0,0.0,31.0,0.0,21,17.0,12,0.0,0,0,27,UA,
29,2007-06-01,12,11,0.0,38.0,0,57,0,16,18.0,14.0,0.0,0.0,24,12.0,45,30.0,0,0,0,UA,
30,2007-07-01,33,0,4.0,0.0,6,46,0,0,0.0,0.0,29.0,0.0,25,9.0,17,0.0,16,0,26,UA,
31,2007-08-01,0,11,7.0,0.0,11,54,0,13,0.0,0.0,27.0,17.0,26,26.0,9,0.0,0,0,0,UA,
32,2007-09-01,27,0,11.0,18.0,54,51,7,48,0.0,8.0,30.0,0.0,28,0.0,7,0.0,0,0,12,UA,
33,2007-10-01,9,12,0.0,14.0,29,43,0,22,0.0,0.0,39.0,0.0,28,44.0,23,0.0,13,0,12,UA,
34,2007-11-01,19,8,0.0,16.0,24,64,7,43,0.0,0.0,0.0,11.0,16,35.0,32,0.0,7,0,0,UA,
35,2007-12-01,28,10,0.0,0.0,26,60,7,31,16.0,0.0,0.0,8.0,15,17.0,17,0.0,7,0,9,UA,
36,2008-01-01,14,10,0.0,0.0,18,54,4,37,0.0,0.0,0.0,0.0,26,9.0,19,0.0,0,0,15,UA,
37,2008-02-01,14,6,8.0,13.0,23,54,14,52,0.0,18.0,0.0,0.0,29,17.0,12,0.0,0,19,14,UA,
38,2008-03-01,9,18,0.0,0.0,26,49,0,13,0.0,9.0,0.0,3.0,35,10.0,24,0.0,6,0,13,UA,
39,2008-04-01,21,11,0.0,0.0,19,58,0,55,0.0,0.0,0.0,4.0,28,11.0,22,0.0,0,0,17,UA,
40,2008-05-01,23,12,0.0,0.0,14,54,0,17,0.0,0.0,0.0,0.0,19,17.0,31,6.0,0,0,9,UA,
41,2008-06-01,0,11,0.0,12.0,18,50,0,22,11.0,0.0,0.0,0.0,33,17.0,17,0.0,0,0,10,UA,
42,2008-07-01,33,10,0.0,0.0,14,60,4,27,7.0,0.0,0.0,0.0,38,9.0,23,0.0,0,0,11,UA,
43,2008-08-01,16,0,0.0,11.0,30,67,0,14,0.0,0.0,0.0,2.0,23,17.0,13,0.0,0,12,8,UA,
44,2008-09-01,14,5,0.0,0.0,13,55,5,39,9.0,5.0,0.0,0.0,33,18.0,5,0.0,0,0,19,UA,
45,2008-10-01,22,4,3.0,0.0,21,53,4,61,0.0,8.0,6.0,0.0,31,27.0,21,0.0,7,11,14,UA,
46,2008-11-01,20,10,0.0,0.0,20,69,6,47,10.0,0.0,0.0,0.0,29,27.0,29,0.0,0,0,6,UA,
47,2008-12-01,13,0,0.0,21.0,19,64,7,71,4.0,5.0,0.0,0.0,31,13.0,25,0.0,9,10,11,UA,
48,2009-01-01,22,6,0.0,0.0,30,67,8,52,0.0,4.0,0.0,3.0,20,9.0,19,0.0,0,13,15,UA,
49,2009-02-01,17,5,3.0,0.0,19,76,0,33,0.0,0.0,5.0,10.0,20,12.0,13,0.0,15,0,11,UA,
50,2009-03-01,17,0,0.0,9.0,28,100,0,35,0.0,0.0,0.0,0.0,17,20.0,22,0.0,0,12,8,UA,
51,2009-04-01,13,6,2.0,0.0,20,59,0,42,0.0,0.0,18.0,0.0,12,12.0,8,0.0,0,24,8,UA,
52,2009-05-01,14,0,3.0,0.0,21,61,0,47,0.0,0.0,0.0,2.0,18,17.0,26,0.0,16,7,12,UA,
53,2009-06-01,21,6,2.0,12.0,22,67,0,23,0.0,0.0,0.0,0.0,29,19.0,17,5.0,0,10,7,UA,
54,2009-07-01,10,8,2.0,14.0,14,60,0,15,0.0,0.0,0.0,0.0,19,9.0,15,0.0,6,8,10,UA,
55,2009-08-01,15,11,0.0,0.0,18,70,7,21,0.0,5.0,0.0,0.0,18,14.0,13,0.0,14,8,5,UA,
56,2009-09-01,4,5,0.0,0.0,16,51,0,29,0.0,0.0,6.0,0.0,25,11.0,19,0.0,0,7,9,UA,
57,2009-10-01,14,8,0.0,0.0,19,55,4,25,0.0,0.0,0.0,2.0,15,10.0,11,0.0,0,0,12,UA,
58,2009-11-01,4,8,0.0,0.0,9,60,4,15,6.0,0.0,0.0,0.0,16,14.0,0,4.0,0,20,9,UA,
59,2009-12-01,18,5,0.0,0.0,13,46,0,32,0.0,4.0,0.0,0.0,16,9.0,14,0.0,9,10,8,UA,
60,2010-01-01,16,6,0.0,10.0,11,59,0,16,9.0,0.0,0.0,0.0,13,3.0,14,5.0,5,0,6,UA,
61,2010-02-01,12,5,2.0,0.0,12,50,5,23,0.0,0.0,0.0,0.0,11,2.0,15,0.0,6,6,11,UA,
62,2010-03-01,7,5,2.0,0.0,9,58,0,17,6.0,0.0,0.0,0.0,19,5.0,12,0.0,4,0,6,UA,
63,2010-04-01,7,8,0.0,0.0,12,50,8,25,5.0,0.0,0.0,0.0,20,12.0,4,0.0,0,0,13,UA,
64,2010-05-01,0,7,2.0,0.0,17,53,0,17,0.0,5.0,0.0,0.0,14,11.0,22,0.0,6,0,0,UA,
65,2010-06-01,0,7,0.0,8.0,9,52,0,16,0.0,0.0,0.0,0.0,16,8.0,8,0.0,0,11,19,UA,
