,date,passport,Immigration,Travel Visa,Refugee,Conflict,Economy,country
0,2006-01-01,0.0,0.0,35.0,0.0,0.0,0.0,AF
1,2006-02-01,19.0,0.0,22.0,0.0,0.0,0.0,AF
2,2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
3,2006-04-01,0.0,55.0,0.0,0.0,0.0,0.0,AF
4,2006-05-01,0.0,0.0,34.0,0.0,0.0,0.0,AF
5,2006-06-01,22.0,44.0,45.0,74.0,0.0,0.0,AF
6,2006-07-01,0.0,46.0,0.0,0.0,0.0,0.0,AF
7,2006-08-01,0.0,56.0,0.0,98.0,0.0,93.0,AF
8,2006-09-01,0.0,0.0,29.0,0.0,0.0,0.0,AF
9,2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
10,2006-11-01,22.0,51.0,0.0,0.0,0.0,0.0,AF
11,2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
12,2007-01-01,11.0,33.0,44.0,42.0,0.0,70.0,AF
13,2007-02-01,0.0,0.0,48.0,0.0,0.0,0.0,AF
14,2007-03-01,6.0,0.0,0.0,0.0,45.0,0.0,AF
15,2007-04-01,0.0,0.0,0.0,0.0,0.0,34.0,AF
16,2007-05-01,4.0,0.0,14.0,93.0,0.0,0.0,AF
17,2007-06-01,5.0,45.0,0.0,0.0,0.0,0.0,AF
18,2007-07-01,0.0,35.0,14.0,0.0,0.0,32.0,AF
19,2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
20,2007-09-01,0.0,0.0,18.0,0.0,0.0,0.0,AF
21,2007-10-01,4.0,0.0,65.0,38.0,0.0,0.0,AF
22,2007-11-01,0.0,0.0,0.0,35.0,0.0,56.0,AF
23,2007-12-01,5.0,0.0,24.0,0.0,0.0,32.0,AF
24,2008-01-01,0.0,28.0,14.0,0.0,0.0,0.0,AF
25,2008-02-01,0.0,0.0,12.0,0.0,19.0,0.0,AF
26,2008-03-01,0.0,0.0,33.0,0.0,0.0,0.0,AF
27,2008-04-01,4.0,28.0,0.0,26.0,0.0,50.0,AF
