date,trends_index,keyword,region,keyword_en
2004-01-01,45,dong,AT,Dong
2004-02-01,0,dong,AT,Dong
2004-03-01,54,dong,AT,Dong
2004-04-01,0,dong,AT,Dong
2004-05-01,0,dong,AT,Dong
2004-06-01,0,dong,AT,Dong
2004-07-01,0,dong,AT,Dong
2004-08-01,84,dong,AT,Dong
2004-09-01,0,dong,AT,Dong
2004-10-01,34,dong,AT,Dong
2004-11-01,0,dong,AT,Dong
2004-12-01,49,dong,AT,Dong
2005-01-01,0,dong,AT,Dong
2005-02-01,49,dong,AT,Dong
2005-03-01,44,dong,AT,Dong
2005-04-01,0,dong,AT,Dong
2005-05-01,0,dong,AT,Dong
2005-06-01,41,dong,AT,Dong
2005-07-01,52,dong,AT,Dong
2005-08-01,100,dong,AT,Dong
2005-09-01,44,dong,AT,Dong
2005-10-01,56,dong,AT,Dong
2005-11-01,18,dong,AT,Dong
2005-12-01,53,dong,AT,Dong
2006-01-01,36,dong,AT,Dong
2006-02-01,44,dong,AT,Dong
2006-03-01,26,dong,AT,Dong
2006-04-01,36,dong,AT,Dong
2006-05-01,45,dong,AT,Dong
2006-06-01,27,dong,AT,Dong
2006-07-01,24,dong,AT,Dong
2006-08-01,64,dong,AT,Dong
2006-09-01,0,dong,AT,Dong
2006-10-01,17,dong,AT,Dong
2006-11-01,19,dong,AT,Dong
2006-12-01,18,dong,AT,Dong
2007-01-01,36,dong,AT,Dong
2007-02-01,17,dong,AT,Dong
2007-03-01,25,dong,AT,Dong
2007-04-01,45,dong,AT,Dong
2007-05-01,28,dong,AT,Dong
2007-06-01,23,dong,AT,Dong
2007-07-01,42,dong,AT,Dong
2007-08-01,26,dong,AT,Dong
2007-09-01,23,dong,AT,Dong
2007-10-01,25,dong,AT,Dong
2007-11-01,29,dong,AT,Dong
2007-12-01,26,dong,AT,Dong
2008-01-01,42,dong,AT,Dong
2008-02-01,29,dong,AT,Dong
2008-03-01,42,dong,AT,Dong
2008-04-01,45,dong,AT,Dong
2008-05-01,41,dong,AT,Dong
2008-06-01,23,dong,AT,Dong
2008-07-01,53,dong,AT,Dong
2008-08-01,44,dong,AT,Dong
2008-09-01,35,dong,AT,Dong
2008-10-01,33,dong,AT,Dong
2008-11-01,31,dong,AT,Dong
2008-12-01,18,dong,AT,Dong
2009-01-01,34,dong,AT,Dong
2009-02-01,33,dong,AT,Dong
2009-03-01,9,dong,AT,Dong
2009-04-01,26,dong,AT,Dong
2009-05-01,31,dong,AT,Dong
2009-06-01,15,dong,AT,Dong
2009-07-01,23,dong,AT,Dong
2009-08-01,12,dong,AT,Dong
2009-09-01,30,dong,AT,Dong
2009-10-01,48,dong,AT,Dong
2009-11-01,26,dong,AT,Dong
2009-12-01,44,dong,AT,Dong
2010-01-01,39,dong,AT,Dong
2010-02-01,57,dong,AT,Dong
2010-03-01,24,dong,AT,Dong
2010-04-01,44,dong,AT,Dong
2010-05-01,38,dong,AT,Dong
2010-06-01,43,dong,AT,Dong
2010-07-01,51,dong,AT,Dong
2010-08-01,37,dong,AT,Dong
2010-09-01,16,dong,AT,Dong
2010-10-01,28,dong,AT,Dong
2010-11-01,35,dong,AT,Dong
2010-12-01,21,dong,AT,Dong
2011-01-01,29,dong,AT,Dong
2011-02-01,33,dong,AT,Dong
2011-03-01,50,dong,AT,Dong
2011-04-01,52,dong,AT,Dong
2011-05-01,37,dong,AT,Dong
2011-06-01,38,dong,AT,Dong
2011-07-01,38,dong,AT,Dong
2011-08-01,55,dong,AT,Dong
2011-09-01,42,dong,AT,Dong
2011-10-01,43,dong,AT,Dong
2011-11-01,32,dong,AT,Dong
2011-12-01,42,dong,AT,Dong
2012-01-01,37,dong,AT,Dong
2012-02-01,36,dong,AT,Dong
2012-03-01,31,dong,AT,Dong
2012-04-01,39,dong,AT,Dong
2012-05-01,39,dong,AT,Dong
2012-06-01,34,dong,AT,Dong
2012-07-01,35,dong,AT,Dong
2012-08-01,39,dong,AT,Dong
2012-09-01,34,dong,AT,Dong
2012-10-01,39,dong,AT,Dong
2012-11-01,39,dong,AT,Dong
2012-12-01,40,dong,AT,Dong
2013-01-01,34,dong,AT,Dong
2013-02-01,31,dong,AT,Dong
2013-03-01,35,dong,AT,Dong
2013-04-01,44,dong,AT,Dong
2013-05-01,40,dong,AT,Dong
2013-06-01,42,dong,AT,Dong
2013-07-01,35,dong,AT,Dong
2013-08-01,39,dong,AT,Dong
2013-09-01,32,dong,AT,Dong
