date,trends_index,keyword,region,keyword_en
2004-01-01,0,peso cubano,MX,Cuban Peso
2004-02-01,0,peso cubano,MX,Cuban Peso
2004-03-01,54,peso cubano,MX,Cuban Peso
2004-04-01,100,peso cubano,MX,Cuban Peso
2004-05-01,0,peso cubano,MX,Cuban Peso
2004-06-01,0,peso cubano,MX,Cuban Peso
2004-07-01,0,peso cubano,MX,Cuban Peso
2004-08-01,0,peso cubano,MX,Cuban Peso
2004-09-01,0,peso cubano,MX,Cuban Peso
2004-10-01,0,peso cubano,MX,Cuban Peso
2004-11-01,0,peso cubano,MX,Cuban Peso
2004-12-01,0,peso cubano,MX,Cuban Peso
2005-01-01,0,peso cubano,MX,Cuban Peso
2005-02-01,0,peso cubano,MX,Cuban Peso
2005-03-01,0,peso cubano,MX,Cuban Peso
2005-04-01,88,peso cubano,MX,Cuban Peso
2005-05-01,34,peso cubano,MX,Cuban Peso
2005-06-01,0,peso cubano,MX,Cuban Peso
2005-07-01,0,peso cubano,MX,Cuban Peso
2005-08-01,35,peso cubano,MX,Cuban Peso
2005-09-01,0,peso cubano,MX,Cuban Peso
2005-10-01,21,peso cubano,MX,Cuban Peso
2005-11-01,0,peso cubano,MX,Cuban Peso
2005-12-01,0,peso cubano,MX,Cuban Peso
2006-01-01,0,peso cubano,MX,Cuban Peso
2006-02-01,0,peso cubano,MX,Cuban Peso
2006-03-01,0,peso cubano,MX,Cuban Peso
2006-04-01,0,peso cubano,MX,Cuban Peso
2006-05-01,0,peso cubano,MX,Cuban Peso
2006-06-01,0,peso cubano,MX,Cuban Peso
2006-07-01,0,peso cubano,MX,Cuban Peso
2006-08-01,0,peso cubano,MX,Cuban Peso
2006-09-01,17,peso cubano,MX,Cuban Peso
2006-10-01,0,peso cubano,MX,Cuban Peso
2006-11-01,0,peso cubano,MX,Cuban Peso
2006-12-01,58,peso cubano,MX,Cuban Peso
2007-01-01,7,peso cubano,MX,Cuban Peso
2007-02-01,0,peso cubano,MX,Cuban Peso
2007-03-01,0,peso cubano,MX,Cuban Peso
2007-04-01,0,peso cubano,MX,Cuban Peso
2007-05-01,0,peso cubano,MX,Cuban Peso
2007-06-01,0,peso cubano,MX,Cuban Peso
2007-07-01,0,peso cubano,MX,Cuban Peso
2007-08-01,10,peso cubano,MX,Cuban Peso
2007-09-01,7,peso cubano,MX,Cuban Peso
2007-10-01,9,peso cubano,MX,Cuban Peso
2007-11-01,0,peso cubano,MX,Cuban Peso
2007-12-01,0,peso cubano,MX,Cuban Peso
2008-01-01,10,peso cubano,MX,Cuban Peso
2008-02-01,0,peso cubano,MX,Cuban Peso
2008-03-01,0,peso cubano,MX,Cuban Peso
2008-04-01,0,peso cubano,MX,Cuban Peso
2008-05-01,9,peso cubano,MX,Cuban Peso
2008-06-01,9,peso cubano,MX,Cuban Peso
2008-07-01,14,peso cubano,MX,Cuban Peso
2008-08-01,5,peso cubano,MX,Cuban Peso
2008-09-01,0,peso cubano,MX,Cuban Peso
2008-10-01,4,peso cubano,MX,Cuban Peso
2008-11-01,15,peso cubano,MX,Cuban Peso
2008-12-01,4,peso cubano,MX,Cuban Peso
2009-01-01,21,peso cubano,MX,Cuban Peso
2009-02-01,7,peso cubano,MX,Cuban Peso
2009-03-01,0,peso cubano,MX,Cuban Peso
2009-04-01,10,peso cubano,MX,Cuban Peso
2009-05-01,5,peso cubano,MX,Cuban Peso
2009-06-01,0,peso cubano,MX,Cuban Peso
2009-07-01,10,peso cubano,MX,Cuban Peso
2009-08-01,0,peso cubano,MX,Cuban Peso
2009-09-01,0,peso cubano,MX,Cuban Peso
2009-10-01,3,peso cubano,MX,Cuban Peso
2009-11-01,8,peso cubano,MX,Cuban Peso
2009-12-01,5,peso cubano,MX,Cuban Peso
2010-01-01,7,peso cubano,MX,Cuban Peso
2010-02-01,7,peso cubano,MX,Cuban Peso
2010-03-01,4,peso cubano,MX,Cuban Peso
2010-04-01,11,peso cubano,MX,Cuban Peso
2010-05-01,3,peso cubano,MX,Cuban Peso
2010-06-01,4,peso cubano,MX,Cuban Peso
2010-07-01,0,peso cubano,MX,Cuban Peso
2010-08-01,8,peso cubano,MX,Cuban Peso
2010-09-01,0,peso cubano,MX,Cuban Peso
2010-10-01,4,peso cubano,MX,Cuban Peso
2010-11-01,5,peso cubano,MX,Cuban Peso
2010-12-01,4,peso cubano,MX,Cuban Peso
2011-01-01,5,peso cubano,MX,Cuban Peso
2011-02-01,0,peso cubano,MX,Cuban Peso
2011-03-01,7,peso cubano,MX,Cuban Peso
2011-04-01,2,peso cubano,MX,Cuban Peso
2011-05-01,3,peso cubano,MX,Cuban Peso
2011-06-01,4,peso cubano,MX,Cuban Peso
2011-07-01,10,peso cubano,MX,Cuban Peso
2011-08-01,5,peso cubano,MX,Cuban Peso
2011-09-01,5,peso cubano,MX,Cuban Peso
2011-10-01,5,peso cubano,MX,Cuban Peso
2011-11-01,5,peso cubano,MX,Cuban Peso
2011-12-01,5,peso cubano,MX,Cuban Peso
2012-01-01,6,peso cubano,MX,Cuban Peso
2012-02-01,6,peso cubano,MX,Cuban Peso
2012-03-01,4,peso cubano,MX,Cuban Peso
2012-04-01,3,peso cubano,MX,Cuban Peso
2012-05-01,5,peso cubano,MX,Cuban Peso
2012-06-01,4,peso cubano,MX,Cuban Peso
2012-07-01,6,peso cubano,MX,Cuban Peso
2012-08-01,4,peso cubano,MX,Cuban Peso
2012-09-01,4,peso cubano,MX,Cuban Peso
2012-10-01,4,peso cubano,MX,Cuban Peso
2012-11-01,2,peso cubano,MX,Cuban Peso
2012-12-01,2,peso cubano,MX,Cuban Peso
2013-01-01,5,peso cubano,MX,Cuban Peso
2013-02-01,4,peso cubano,MX,Cuban Peso
2013-03-01,3,peso cubano,MX,Cuban Peso
2013-04-01,3,peso cubano,MX,Cuban Peso
2013-05-01,5,peso cubano,MX,Cuban Peso
2013-06-01,4,peso cubano,MX,Cuban Peso
