date,trends_index,keyword,region,keyword_en
2004-01-01,18,dong,NL,Dong
2004-02-01,36,dong,NL,Dong
2004-03-01,0,dong,NL,Dong
2004-04-01,31,dong,NL,Dong
2004-05-01,10,dong,NL,Dong
2004-06-01,61,dong,NL,Dong
2004-07-01,56,dong,NL,Dong
2004-08-01,39,dong,NL,Dong
2004-09-01,60,dong,NL,Dong
2004-10-01,41,dong,NL,Dong
2004-11-01,22,dong,NL,Dong
2004-12-01,34,dong,NL,Dong
2005-01-01,47,dong,NL,Dong
2005-02-01,19,dong,NL,Dong
2005-03-01,51,dong,NL,Dong
2005-04-01,45,dong,NL,Dong
2005-05-01,26,dong,NL,Dong
2005-06-01,43,dong,NL,Dong
2005-07-01,53,dong,NL,Dong
2005-08-01,29,dong,NL,Dong
2005-09-01,41,dong,NL,Dong
2005-10-01,24,dong,NL,Dong
2005-11-01,17,dong,NL,Dong
2005-12-01,43,dong,NL,Dong
2006-01-01,30,dong,NL,Dong
2006-02-01,24,dong,NL,Dong
2006-03-01,34,dong,NL,Dong
2006-04-01,28,dong,NL,Dong
2006-05-01,40,dong,NL,Dong
2006-06-01,21,dong,NL,Dong
2006-07-01,32,dong,NL,Dong
2006-08-01,22,dong,NL,Dong
2006-09-01,37,dong,NL,Dong
2006-10-01,30,dong,NL,Dong
2006-11-01,40,dong,NL,Dong
2006-12-01,35,dong,NL,Dong
2007-01-01,36,dong,NL,Dong
2007-02-01,36,dong,NL,Dong
2007-03-01,33,dong,NL,Dong
2007-04-01,44,dong,NL,Dong
2007-05-01,54,dong,NL,Dong
2007-06-01,69,dong,NL,Dong
2007-07-01,42,dong,NL,Dong
2007-08-01,43,dong,NL,Dong
2007-09-01,34,dong,NL,Dong
2007-10-01,54,dong,NL,Dong
2007-11-01,47,dong,NL,Dong
2007-12-01,38,dong,NL,Dong
2008-01-01,44,dong,NL,Dong
2008-02-01,49,dong,NL,Dong
2008-03-01,53,dong,NL,Dong
2008-04-01,41,dong,NL,Dong
2008-05-01,43,dong,NL,Dong
2008-06-01,43,dong,NL,Dong
2008-07-01,47,dong,NL,Dong
2008-08-01,38,dong,NL,Dong
2008-09-01,57,dong,NL,Dong
2008-10-01,41,dong,NL,Dong
2008-11-01,57,dong,NL,Dong
2008-12-01,54,dong,NL,Dong
2009-01-01,58,dong,NL,Dong
2009-02-01,56,dong,NL,Dong
2009-03-01,71,dong,NL,Dong
2009-04-01,52,dong,NL,Dong
2009-05-01,50,dong,NL,Dong
2009-06-01,55,dong,NL,Dong
2009-07-01,60,dong,NL,Dong
2009-08-01,56,dong,NL,Dong
2009-09-01,46,dong,NL,Dong
2009-10-01,48,dong,NL,Dong
2009-11-01,48,dong,NL,Dong
2009-12-01,63,dong,NL,Dong
2010-01-01,54,dong,NL,Dong
2010-02-01,40,dong,NL,Dong
2010-03-01,42,dong,NL,Dong
2010-04-01,47,dong,NL,Dong
2010-05-01,54,dong,NL,Dong
2010-06-01,43,dong,NL,Dong
2010-07-01,59,dong,NL,Dong
2010-08-01,41,dong,NL,Dong
2010-09-01,56,dong,NL,Dong
2010-10-01,49,dong,NL,Dong
2010-11-01,57,dong,NL,Dong
2010-12-01,47,dong,NL,Dong
2011-01-01,41,dong,NL,Dong
2011-02-01,56,dong,NL,Dong
2011-03-01,44,dong,NL,Dong
2011-04-01,53,dong,NL,Dong
2011-05-01,49,dong,NL,Dong
2011-06-01,59,dong,NL,Dong
2011-07-01,59,dong,NL,Dong
2011-08-01,55,dong,NL,Dong
2011-09-01,52,dong,NL,Dong
2011-10-01,56,dong,NL,Dong
2011-11-01,48,dong,NL,Dong
2011-12-01,57,dong,NL,Dong
2012-01-01,56,dong,NL,Dong
2012-02-01,50,dong,NL,Dong
2012-03-01,56,dong,NL,Dong
2012-04-01,53,dong,NL,Dong
2012-05-01,54,dong,NL,Dong
2012-06-01,49,dong,NL,Dong
2012-07-01,66,dong,NL,Dong
2012-08-01,48,dong,NL,Dong
2012-09-01,55,dong,NL,Dong
2012-10-01,54,dong,NL,Dong
2012-11-01,51,dong,NL,Dong
2012-12-01,61,dong,NL,Dong
2013-01-01,50,dong,NL,Dong
2013-02-01,47,dong,NL,Dong
2013-03-01,54,dong,NL,Dong
2013-04-01,66,dong,NL,Dong
2013-05-01,69,dong,NL,Dong
2013-06-01,47,dong,NL,Dong
2013-07-01,52,dong,NL,Dong
2013-08-01,45,dong,NL,Dong
